nginx-1  | 176.65.139.66 - - [21/Jun/2026:08:27:00 +0000] "GET / HTTP/1.0" 302 0 "-" "Shodan-Pull/1.0"
nginx-1  | 3.87.27.156 - - [21/Jun/2026:08:30:11 +0000] "GET /.env.local HTTP/1.0" 404 3022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
nginx-1  | 157.15.40.6 - - [21/Jun/2026:08:34:43 +0000] "GET /wp-content/plugins/fix/up.php HTTP/1.1" 404 3078 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
nginx-1  | 157.15.40.6 - - [21/Jun/2026:08:34:43 +0000] "GET /wp-content/plugins/fix/up.php HTTP/1.1" 404 3078 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
nginx-1  | 157.15.40.6 - - [21/Jun/2026:08:34:43 +0000] "GET /wp-content/plugins/fix/up.php HTTP/1.1" 404 3078 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:34:54 +0000] "GET / HTTP/1.1" 400 157 "-" "NTRIP GNSSInternetRadio"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:34:54 +0000] "GET /version HTTP/1.1" 400 255 "-" "-"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:34:55 +0000] "GET / HTTP/1.1" 400 255 "-" "-"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:34:55 +0000] "GET / HTTP/1.1" 400 255 "-" "-"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:34:56 +0000] "GET /v1 HTTP/1.1" 400 255 "-" "-"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:34:57 +0000] "GET / HTTP/1.1" 302 0 "-" "-"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:35:04 +0000] "GET / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
